school_id,school_year,standardized_school_name,original_school_name,year_school_opened,is_elementary_school,is_middle_school,is_high_school,is_other_school,admission_type,governance,serves_grade_k,serves_grade_1,serves_grade_2,serves_grade_3,serves_grade_4,serves_grade_5,serves_grade_6,serves_grade_7,serves_grade_8,serves_grade_9,serves_grade_10,serves_grade_11,serves_grade_12,that_col
3358,2024-2025,Philadelphia Electrical and Technology Charter High School,Philadelphia Electrical and Technology Charter High School,2002,0,0,1,0,Citywide,Charter,0,0,0,0,0,0,0,0,0,1,1,1,1,
3359,2024-2025,Richard Allen Preparatory Charter School,Richard Allen Preparatory Charter School,2001,0,1,0,0,Citywide,Charter,0,0,0,0,0,1,1,1,1,0,0,0,0,
3360,2024-2025,Russell Byers Charter School,Russell Byers Charter School,2001,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3361,2024-2025,Mastery Charter High School,Mastery Charter High School,2001,0,1,1,0,Citywide With Criteria,Charter,0,0,0,0,0,0,0,1,1,1,1,1,1,
3362,2024-2025,Wissahickon Charter School,Wissahickon Charter School,2002,1,1,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3364,2024-2025,First Philadelphia Preparatory Charter School,First Philadelphia Preparatory Charter School,2002,1,1,1,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1,
3365,2024-2025,Green Woods Charter School,Green Woods Charter School,2002,1,1,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3366,2024-2025,Maritime Academy Charter School,Maritime Academy Charter School,2003,1,1,1,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1,
3368,2024-2025,Belmont Elementary Charter School,Belmont Elementary Charter School,2005,1,1,1,0,Catchment,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1,
3370,2024-2025,KIPP Philadelphia Charter School,KIPP Philadelphia Charter School,2003,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3372,2024-2025,The Jacquelyn Y. Kelley Discovery Charter School,The Jacquelyn Y. Kelley Discovery Charter School,2003,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3378,2024-2025,Philadelphia Montessori Charter School,Philadelphia Montessori Charter School,2004,1,0,0,0,Citywide,Charter,1,1,1,1,1,1,1,0,0,0,0,0,0,
3379,2024-2025,Ad Prima Charter School,Ad Prima Charter School,2004,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3383,2024-2025,Mastery Charter School at Shoemaker,Mastery Charter School at Shoemaker,2006,0,1,1,0,Citywide With Criteria,Charter,0,0,0,0,0,0,0,1,1,1,1,1,1,
3384,2024-2025,Folk Arts-Cultural Treasures Charter School,Folk Arts-Cultural Treasures Charter School,2005,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3385,2024-2025,Mastery Charter School at Thomas Campus,Mastery Charter School at Thomas Campus,2005,1,1,1,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1,
3386,2024-2025,Northwood Academy Charter School,Northwood Academy Charter School,2005,1,1,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3388,2024-2025,Boys Latin of Philadelphia Charter School,Boys Latin of Philadelphia Charter School,2007,0,1,1,0,Citywide,Charter,0,0,0,0,0,0,1,1,1,1,1,1,1,
3389,2024-2025,Keystone Academy Charter School,Keystone Academy Charter School,2007,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3392,2024-2025,Southwest Leadership Academy Charter School,Southwest Leadership Academy Charter School,2007,1,1,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3393,2024-2025,Mastery Charter School at Pickett,Mastery Charter School at Pickett,2007,0,1,1,0,Citywide With Criteria,Charter,0,0,0,0,0,0,1,1,1,1,1,1,1,
3394,2024-2025,Pan American Academy Charter School,Pan American Academy Charter School,2008,1,1,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3395,2024-2025,Antonia Pantoja Charter School,Antonia Pantoja Charter School,2008,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3399,2024-2025,Sankofa Freedom Academy Charter School,Sankofa Freedom Academy Charter School,2009,1,1,1,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1,
3403,2024-2025,Franklin Towne Charter Elementary School,Franklin Towne Charter Elementary School,2009,1,1,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3404,2024-2025,Tacony Academy Charter School,Tacony Academy Charter School,2009,1,1,1,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1,
3407,2024-2025,Mastery Charter School at Harrity,Mastery Charter School at Harrity,2010,1,1,0,0,Catchment,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3408,2024-2025,Mastery Charter School at Mann,Mastery Charter School at Mann,2010,1,0,0,0,Catchment,Charter,1,1,1,1,1,1,1,0,0,0,0,0,0,
3409,2024-2025,Mastery Charter School at Smedley,Mastery Charter School at Smedley,2010,1,0,0,0,Catchment,Charter,1,1,1,1,1,1,1,0,0,0,0,0,0,
3412,2024-2025,Mastery Charter School at Douglass,Mastery Charter School at Douglass,2010,1,1,0,0,Catchment,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3415,2024-2025,Mastery Charter School at Clymer,Mastery Charter School at Clymer,2011,1,0,0,0,Catchment,Charter,1,1,1,1,1,1,1,0,0,0,0,0,0,
3416,2024-2025,Mastery Charter School at Gratz,Mastery Charter School at Gratz,2011,0,1,1,0,Catchment,Charter,0,0,0,0,0,0,0,1,1,1,1,1,1,
3417,2024-2025,Universal Charter School at Audenried,Universal Charter School at Audenried,2011,0,0,1,0,Catchment,Charter,0,0,0,0,0,0,0,0,0,1,1,1,1,
3418,2024-2025,Universal Charter School at Vare,Universal Charter School at Vare,2011,0,1,0,0,Catchment,Charter,0,0,0,0,0,1,1,1,1,0,0,0,0,
3419,2024-2025,General David B. Birney Charter School,General David B. Birney Charter School,2011,1,1,0,0,Catchment,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3420,2024-2025,Mastery Charter School at Cleveland,Mastery Charter School at Cleveland,2012,1,1,0,0,Catchment,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3421,2024-2025,Universal Charter School at Creighton,Universal Charter School at Creighton,2012,1,1,0,0,Catchment,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3422,2024-2025,The Philadelphia Charter School for Arts and Sciences,The Philadelphia Charter School for Arts and Sciences,2012,1,1,0,0,Catchment,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3423,2024-2025,Memphis Street Academy Charter School at J.P. Jones,Memphis Street Academy Charter School at J.P. Jones,2012,0,1,0,0,Catchment,Charter,0,0,0,0,0,1,1,1,1,0,0,0,0,
3424,2024-2025,Universal Charter School at Alcorn,Universal Charter School at Alcorn,2013,1,1,0,0,Catchment,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3426,2024-2025,Mastery Charter School at Pastorius,Mastery Charter School at Pastorius,2013,1,1,0,0,Catchment,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3427,2024-2025,Mastery Charter School at Wister,Mastery Charter School at Wister,2016,1,0,0,0,Catchment,Charter,1,1,1,1,1,1,0,0,0,0,0,0,0,
3428,2024-2025,Global Leadership Academy Charter School Southwest at Huey,Global Leadership Academy Charter School Southwest at Huey,2016,1,1,0,0,Catchment,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3436,2024-2025,KIPP Octavius Catto Charter School,KIPP Octavius Catto Charter School,2022,1,0,0,0,Citywide,Charter,1,1,1,0,0,0,0,0,0,0,0,0,0,
3437,2024-2025,KIPP North Philadelphia Charter School,KIPP North Philadelphia Charter School,2018,1,0,0,0,Citywide,Charter,1,1,1,1,1,1,0,0,0,0,0,0,0,
3438,2024-2025,Deep Roots Charter School,Deep Roots Charter School,2018,1,0,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,0,0,0,0,0,0,0,
3439,2024-2025,Mastery Prep Elementary Charter School,Mastery Prep Elementary Charter School,2018,1,0,0,0,Citywide,Charter,1,1,1,1,0,0,0,0,0,0,0,0,0,
3440,2024-2025,MaST Community Charter School II,MaST Community Charter School II,2016,1,0,1,0,Citywide,Charter,1,1,1,1,1,1,1,0,0,1,0,0,0,
3441,2024-2025,TECH Freire Charter School,TECH Freire Charter School,2016,0,0,1,0,Citywide With Criteria,Charter,0,0,0,0,0,0,0,0,0,1,1,1,1,
3442,2024-2025,Independence Charter School West,Independence Charter School West,2016,1,1,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3443,2024-2025,KIPP West Philadelphia Charter School,KIPP West Philadelphia Charter School,2016,1,0,0,0,Citywide,Charter,1,1,1,1,1,0,0,0,0,0,0,0,0,
3445,2024-2025,MAST Community Charter School III,MAST Community Charter School III,2019,1,0,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0,
3446,2024-2025,Philadelphia Hebrew Public Charter School,Philadelphia Hebrew Public Charter School,2019,1,0,0,0,Citywide,Charter,1,1,0,0,0,0,0,0,0,0,0,0,0,
3510,2024-2025,El Centro de Estudiantes,El Centro de Estudiantes,2009,0,0,1,0,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1,
3810,2024-2025,One Bright Ray - Elmwood,One Bright Ray - Elmwood,2015,0,0,1,0,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1,
3820,2024-2025,Achieve Academy of Philadelphia - East Campus,Achieve Academy of Philadelphia - East Campus,2016,0,1,1,0,Alternative,Contracted,0,0,0,0,0,0,1,1,1,1,1,1,1,
3850,2024-2025,Northeast High School EOP,Northeast High School EOP,2016,0,0,1,0,Alternative,District,0,0,0,0,0,0,0,0,0,1,1,1,1,
3880,2024-2025,South Philadelphia High School EOP,South Philadelphia High School EOP,2008,0,0,1,0,Alternative,District,0,0,0,0,0,0,0,0,0,1,1,1,1,
4020,2024-2025,Overbrook High School,Overbrook High School,1926,0,0,1,0,Catchment,District,0,0,0,0,0,0,0,0,0,1,1,1,1,
