school_id,school_year,standardized_school_name,original_school_name,year_school_opened,is_elementary_school,is_middle_school,is_high_school,is_other_school,admission_type,governance,serves_grade_k,serves_grade_1,serves_grade_2,serves_grade_3,serves_grade_4,serves_grade_5,serves_grade_6,serves_grade_7,serves_grade_8,serves_grade_9,serves_grade_10,serves_grade_11,serves_grade_12
1010,2020-2021,John Bartram High School,John Bartram High School,1939,0,0,1,0,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1
1020,2020-2021,West Philadelphia High School,West Philadelphia High School,1911,0,0,1,0,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1
1030,2020-2021,High School of the Future,High School of the Future,2006,0,0,1,0,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1
1050,2020-2021,Paul Robeson High School for Human Services,Paul Robeson High School for Human Services,2003,0,0,1,0,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1
1100,2020-2021,William L. Sayre High School,William L. Sayre High School,1950,0,0,1,0,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1
1130,2020-2021,William T. Tilden School,William T. Tilden School,1927,0,1,0,0,Neighborhood,District,0,0,0,0,0,1,1,1,1,0,0,0,0
1190,2020-2021,Motivation High School,Motivation High School,2004,0,0,1,0,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1
1200,2020-2021,John Barry School,John Barry School,2007,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1230,2020-2021,William C. Bryant School,William C. Bryant School,1903,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1250,2020-2021,Joseph W. Catharine School,Joseph W. Catharine School,1937,1,0,0,0,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0
1260,2020-2021,Benjamin B. Comegys School,Benjamin B. Comegys School,1911,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1280,2020-2021,Sadie Alexander School,Sadie Alexander School,2001,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1290,2020-2021,Andrew Hamilton School,Andrew Hamilton School,1970,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
