school_id,school_year,standardized_school_name,original_school_name,year_school_opened,is_elementary_school,is_middle_school,is_high_school,is_other_school,admission_type,governance,serves_grade_k,serves_grade_1,serves_grade_2,serves_grade_3,serves_grade_4,serves_grade_5,serves_grade_6,serves_grade_7,serves_grade_8,serves_grade_9,serves_grade_10,serves_grade_11,serves_grade_12
2590,2019-2020,George W. Nebinger School,George W. Nebinger School,1925,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
2620,2019-2020,Academy at Palumbo,Academy at Palumbo,2006,0,0,1,0,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1
2630,2019-2020,George W. Sharswood School,George W. Sharswood School,1906,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
2640,2019-2020,Southwark School,Southwark School,1905,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
2650,2019-2020,Science Leadership Academy,Science Leadership Academy,2006,0,0,1,0,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1
2670,2019-2020,Constitution High School,Constitution High School,2006,0,0,1,0,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1
2680,2019-2020,The Science Leadership Academy at Beeber,The Science Leadership Academy at Beeber,2014,0,1,1,0,Special Admit,District,0,0,0,0,0,1,1,0,0,1,1,1,1
2690,2019-2020,John H. Taggart School,John H. Taggart School,1917,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
2720,2019-2020,Vare-Washington School,Vare-Washington School,1903,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
3040,2019-2020,Excel Middle Years Academy,Excel Middle Years Academy,2017,0,1,0,0,Alternative,Contracted,0,0,0,0,0,0,1,1,1,0,0,0,0
3190,2019-2020,Crossroads at Hunting Park,Crossroads at Hunting Park,2011,1,0,0,0,Alternative,District,0,0,0,1,1,1,1,0,0,0,0,0,0
3210,2019-2020,Ben Franklin High School EOP,Ben Franklin High School EOP,2012,0,0,1,0,Alternative,District,0,0,0,0,0,0,0,0,0,1,1,1,1
