school_id,school_year,standardized_school_name,original_school_name,year_school_opened,is_elementary_school,is_middle_school,is_high_school,is_other_school,admission_type,governance,serves_grade_k,this_col,serves_grade_1,serves_grade_2,serves_grade_3,serves_grade_4,serves_grade_5,serves_grade_6,serves_grade_7,serves_grade_8,serves_grade_9,serves_grade_10,serves_grade_11,serves_grade_12
3416,2022-2023,Mastery Charter School at Gratz,Mastery Charter School at Gratz,2011,0,1,1,0,Neighborhood,Charter,0,,0,0,0,0,0,0,1,1,1,1,1,1
3417,2022-2023,Universal Charter School at Audenried,Universal Charter School at Audenried,2011,0,0,1,0,Neighborhood,Charter,0,,0,0,0,0,0,0,0,0,1,1,1,1
3418,2022-2023,Universal Charter School at Vare,Universal Charter School at Vare,2011,0,1,0,0,Neighborhood,Charter,0,,0,0,0,0,1,1,1,1,0,0,0,0
3419,2022-2023,Lindley Academy Charter at Birney,Lindley Academy Charter at Birney,2011,1,1,0,0,Neighborhood,Charter,1,,1,1,1,1,1,1,1,1,0,0,0,0
3420,2022-2023,Mastery Charter School at Cleveland,Mastery Charter School at Cleveland,2012,1,1,0,0,Neighborhood,Charter,1,,1,1,1,1,1,1,1,1,0,0,0,0
3421,2022-2023,Universal Charter School at Creighton,Universal Charter School at Creighton,2012,1,1,0,0,Neighborhood,Charter,1,,1,1,1,1,1,1,1,1,0,0,0,0
3422,2022-2023,The Philadelphia Charter School for Arts and Sciences,The Philadelphia Charter School for Arts and Sciences,2012,1,1,0,0,Neighborhood,Charter,1,,1,1,1,1,1,1,1,1,0,0,0,0
3423,2022-2023,Memphis Street Academy Charter School at J.P. Jones,Memphis Street Academy Charter School at J.P. Jones,2012,0,1,0,0,Neighborhood,Charter,0,,0,0,0,0,1,1,1,1,0,0,0,0
3424,2022-2023,Universal Charter School at Alcorn,Universal Charter School at Alcorn,2013,1,1,0,0,Neighborhood,Charter,1,,1,1,1,1,1,1,1,1,0,0,0,0
3426,2022-2023,Mastery Charter School at Pastorius,Mastery Charter School at Pastorius,2013,1,1,0,0,Neighborhood,Charter,1,,1,1,1,1,1,1,1,1,0,0,0,0
3427,2022-2023,Mastery Charter School at Wister,Mastery Charter School at Wister,2016,1,0,0,0,Neighborhood,Charter,1,,1,1,1,1,1,0,0,0,0,0,0,0
3428,2022-2023,Global Leadership Academy at Huey,Global Leadership Academy at Huey,2016,1,1,0,0,Neighborhood,Charter,1,,1,1,1,1,1,1,1,1,0,0,0,0
3436,2022-2023,KIPP Octavius Catto Charter School,KIPP Octavius Catto Charter School,2022,1,0,0,0,Citywide,Charter,1,,1,0,0,0,0,0,0,0,0,0,0,0
3437,2022-2023,KIPP North Philadelphia Charter School,KIPP North Philadelphia Charter School,2018,1,0,0,0,Citywide,Charter,1,,1,1,0,0,0,0,0,0,0,0,0,0
3438,2022-2023,Deep Roots Charter School,Deep Roots Charter School,2018,1,0,0,0,Citywide With Criteria,Charter,1,,1,1,1,1,1,1,0,0,0,0,0,0
3439,2022-2023,Mastery Prep Elementary Charter School,Mastery Prep Elementary Charter School,2018,1,0,0,0,Citywide,Charter,1,,1,1,1,0,0,0,0,0,0,0,0,0
3440,2022-2023,MaST Community Charter School II,MaST Community Charter School II,2016,1,0,1,0,Citywide,Charter,1,,1,1,1,1,1,1,0,0,1,0,0,0
3441,2022-2023,TECH Freire Charter School,TECH Freire Charter School,2016,0,0,1,0,Citywide With Criteria,Charter,0,,0,0,0,0,0,0,0,0,1,1,1,1
3442,2022-2023,Independence Charter School West,Independence Charter School West,2016,1,0,0,0,Citywide With Criteria,Charter,1,,1,1,1,1,1,1,0,0,0,0,0,0
