school_id,school_year,standardized_school_name,original_school_name,year_school_opened,is_elementary_school,is_middle_school,is_high_school,is_other_school,admission_type,governance,serves_grade_k,serves_grade_1,serves_grade_2,serves_grade_3,serves_grade_4,serves_grade_5,serves_grade_6,serves_grade_7,serves_grade_8,serves_grade_9,serves_grade_10,serves_grade_11,serves_grade_12
1010,2021-2022,John Bartram High School,John Bartram High School,1939,0,0,1,0,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1
1020,2021-2022,West Philadelphia High School,West Philadelphia High School,1911,0,0,1,0,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1
1030,2021-2022,High School of the Future,High School of the Future,2006,0,0,1,0,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1
1050,2021-2022,Paul Robeson High School for Human Services,Paul Robeson High School for Human Services,2003,0,0,1,0,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1
1100,2021-2022,William L. Sayre High School,William L. Sayre High School,1950,0,0,1,0,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1
1130,2021-2022,William T. Tilden School,William T. Tilden School,1927,0,1,0,0,Neighborhood,District,0,0,0,0,0,1,1,1,1,0,0,0,0
1190,2021-2022,Motivation High School,Motivation High School,2004,0,0,1,0,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1
1200,2021-2022,John Barry School,John Barry School,2007,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1230,2021-2022,William C. Bryant School,William C. Bryant School,1903,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1250,2021-2022,Joseph W. Catharine School,Joseph W. Catharine School,1937,1,0,0,0,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0
1260,2021-2022,Benjamin B. Comegys School,Benjamin B. Comegys School,1911,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1280,2021-2022,Sadie Alexander School,Sadie Alexander School,2001,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1290,2021-2022,Andrew Hamilton School,Andrew Hamilton School,1970,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1300,2021-2022,Avery D. Harrington School,Avery D. Harrington School,1927,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1340,2021-2022,Henry C. Lea School,Henry C. Lea School,1914,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1350,2021-2022,William C. Longstreth School,William C. Longstreth School,1971,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1360,2021-2022,Morton McMichael School,Morton McMichael School,1963,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1370,2021-2022,S. Weir Mitchell School,S. Weir Mitchell School,1916,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1380,2021-2022,Thomas G. Morton School,Thomas G. Morton School,1971,1,0,0,0,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0
1390,2021-2022,Samuel Powel School,Samuel Powel School,1961,1,0,0,0,Neighborhood,District,1,1,1,1,1,0,0,0,0,0,0,0,0
1400,2021-2022,John M. Patterson School,John M. Patterson School,1921,1,0,0,0,Neighborhood,District,1,1,1,1,1,0,0,0,0,0,0,0,0
1410,2021-2022,James Rhoads School,James Rhoads School,1960,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1420,2021-2022,Martha Washington School,Martha Washington School,1930,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1440,2021-2022,Penrose School,Penrose School,1971,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1460,2021-2022,Add B. Anderson School,Add B. Anderson School,1963,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1470,2021-2022,Alain Locke School,Alain Locke School,1964,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1490,2021-2022,Rudolph Blankenburg School,Rudolph Blankenburg School,1925,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
1580,2021-2022,Middle Years Alternative School,Middle Years Alternative School,1972,0,1,0,0,Citywide,District,0,0,0,0,0,0,1,1,1,0,0,0,0
2000,2021-2022,South Philadelphia High School,South Philadelphia High School,1957,0,0,1,0,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1
2010,2021-2022,Benjamin Franklin High School,Benjamin Franklin High School,1958,0,0,1,0,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1
2020,2021-2022,High School for Creative and Performing Arts,High School for Creative and Performing Arts,1997,0,0,1,0,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1
2050,2021-2022,Science Leadership Academy Middle School,Science Leadership Academy Middle School,2016,0,1,0,0,Neighborhood,District,0,0,0,0,0,1,1,1,1,0,0,0,0
2140,2021-2022,Julia R. Masterman School,Julia R. Masterman School,1933,0,1,1,0,Special Admit,District,0,0,0,0,0,1,1,1,1,1,1,1,1
2160,2021-2022,Furness High School,Furness High School,1912,0,0,1,0,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1
2190,2021-2022,D. Newlin Fell School,D. Newlin Fell School,1924,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
2210,2021-2022,Bache-Martin School,Bache-Martin School,1906,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
2240,2021-2022,F. Amedee Bregy School,F. Amedee Bregy School,1923,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
2260,2021-2022,George W. Childs School,George W. Childs School,1927,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
2290,2021-2022,Franklin Learning Center,Franklin Learning Center,1978,0,0,1,0,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1
2310,2021-2022,Camelot Academy,Camelot Academy,2004,0,1,1,0,Alternative,Contracted,0,0,0,0,0,0,1,1,1,1,1,1,1
2320,2021-2022,Stephen Girard School,Stephen Girard School,1959,1,0,0,0,Neighborhood,District,1,1,1,1,1,0,0,0,0,0,0,0,0
2340,2021-2022,General George A. McCall School,General George A. McCall School,1909,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
2370,2021-2022,Delaplaine McDaniel School,Delaplaine McDaniel School,1937,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
2380,2021-2022,William M. Meredith School,William M. Meredith School,1931,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
2390,2021-2022,Robert Morris School,Robert Morris School,1964,1,1,0,0,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0
